plateifu,iauname,objra,objdec
10223-3703,J021354.29+002653.7,33.4762490468,0.448261788956
10223-3704,J021429.36-004604.7,33.6223942904,-0.767955133457
10223-6101,J020956.99+005234.9,32.4874800229,0.876408538366
10223-6102,J020836.00+002730.0,32.1500267146,0.458344136935
10223-6103,J020557.03+004623.9,31.487621624,0.773356454291
10223-6104,J020750.06+005223.0,31.9585996105,0.873067964001
10223-9101,J020815.57+011143.6,32.0648460388,1.19544160366
10223-9102,J020759.99+004809.3,31.9988521199,0.802526851078
10224-12701,J021801.67-002456.1,34.5070413038,-0.415554759167
10224-12702,J021859.76-003605.2,34.7499415182,-0.601735510346
10224-12703,J022751.50+003001.9,36.9643538512,0.501541369456
10224-12704,J021907.77+003646.7,34.7823838662,0.61302089918
10224-12705,J022302.26-000837.1,35.7594398414,-0.143668052616
10224-1901,J022056.40+010201.9,35.2350380375,1.03388151891
10224-1902,J022836.59-001447.9,37.1524983344,-0.246625627
10224-3701,J021735.80-002936.9,34.3991810957,-0.493589654998
10224-3702,J021941.13-001520.3,34.9213774441,-0.255640663023
10224-3703,J022731.66+005238.6,36.8819506631,0.877403370271
10224-3704,J022140.52+001518.9,35.418845091,0.255233152292
10224-6101,J021918.90-004915.1,34.8287929835,-0.820877062224
10224-6102,J022026.53-001846.2,35.1105896278,-0.312863777025
10224-6103,J021754.85+001506.4,34.478591916,0.251777142477
10224-6104,J022229.71+002257.5,35.6239396771,0.38268116579
10224-9101,J021859.29+001946.9,34.7485323693,0.330017800119
10224-9102,J022036.52-002248.4,35.1522021244,-0.380157724524
10225-12701,J022954.50-001002.5,37.4771197832,-0.167381683377
10225-12702,J022933.89+002223.1,37.3913006342,0.37325279653
10225-12703,J023143.38+001736.4,37.9307094692,0.293505774944
10225-12704,J023010.84-003853.6,37.5451998512,-0.648239013459
10225-12705,J022752.51-010910.0,36.9688026381,-1.15280687364
10225-1902,J023012.65-003542.8,37.5496070403,-0.59794219134
10225-3701,J022810.44-010325.9,37.0435879343,-1.05715345139
10225-3703,J023007.15-004323.1,37.5298354344,-0.723111692308
10225-3704,J023152.39-001647.4,37.9683313637,-0.279840490138
10225-6101,J022959.15-003556.2,37.4964499583,-0.598960098086
10225-6102,J022336.19+001332.4,35.9008347512,0.225713974118
10225-6104,J023211.77+001326.5,38.0490620926,0.224021539896
10225-9101,J023100.51+002856.3,37.7521626483,0.48231527431
10225-9102,J023133.55+004522.5,37.8902337877,0.756324689931
10226-12701,J023219.47+004019.1,38.0811947747,0.671967980186
10226-12702,J023224.03-003307.3,38.1001719357,-0.55207323206
10226-12703,J023300.87+004026.8,38.2536656642,0.674131504103
10226-12704,J023310.99+000402.6,38.2958339707,0.0673889679678
10226-12705,J023143.30+005412.0,37.93008,0.90429
10226-1901,J023250.13-002111.7,38.208945111,-0.3532912511
